圣安东尼奥马刺_洛杉矶湖人,119-113,战胜,马刺队在客场以119-113战胜洛杉矶湖人队（11胜45负）
克里夫兰骑士_俄克拉荷马雷霆,115-92,大胜,骑士队在客场以115-92大胜俄克拉荷马城雷霆队（40胜16负）
底特律活塞_克里夫兰骑士,96-88,战胜,底特律活塞在客场以96-88战胜克里夫兰骑士队（40胜15负）
密尔沃基雄鹿_洛杉矶湖人,108-101,战胜,雄鹿队在主场以108-101战胜洛杉矶湖人队（11胜47负）
亚特兰大老鹰_金州勇士,102-90,战胜,勇士队在客场以102-90战胜亚特兰大老鹰队（31胜27负）
休斯敦火箭_犹他爵士,114-117,惜败,火箭队在客场以114-117惜败给犹他爵士队（28胜28负）
克里夫兰骑士_夏洛特黄蜂,114-103,战胜,骑士队在主场以114-103战胜夏洛特黄蜂队（29胜27负）
孟菲斯灰熊_洛杉矶湖人,128-119,战胜,灰熊队在主场以128-119战胜洛杉矶湖人队（11胜48负）
金州勇士_迈阿密热火,118-112,险胜,勇士队在客场以118-112险胜迈阿密热火队（32胜25负）
休斯敦火箭_波特兰开拓者,119-105,战胜,休斯敦火箭逆转最多21分落后在客场以119-105战胜波特兰开拓者队（30胜28负）
金州勇士_奥兰多魔术,130-114,战胜,勇士队在客场以130-114战胜奥兰多魔术队（25胜31负）
多伦多猛龙_克里夫兰骑士,99-97,险胜,猛龙队在主场以99-97险胜克里夫兰骑士队（41胜16负）
孟菲斯灰熊_洛杉矶湖人,112-95,轻取,灰熊队在客场以112-95轻取缺少了科比的洛杉矶湖人队（11胜49负）
圣安东尼奥马刺_休斯敦火箭,104-94,战胜,马刺队在客场以104-94战胜休斯敦火箭队（29胜30负）
金州勇士_俄克拉荷马雷霆,121-118,险胜,勇士队经过加时赛在客场以121-118险胜俄克拉荷马城雷霆队（41胜18负）
达拉斯小牛_明尼苏达森林狼,128-101,轻取,达拉斯小牛在主场以128-101轻取明尼苏达森林狼队（19胜41负）
休斯敦火箭_密尔沃基雄鹿,121-128,不敌,休斯敦火箭在客场以121-128不敌雄鹿队
克里夫兰骑士_印第安纳步行者,100-96,险胜,克里夫兰骑士在主场以100-96险胜印第安纳步行者队（31胜29负）
金州勇士_亚特兰大老鹰,109-105,险胜,金州勇士带领球队以109-105险胜亚特兰大老鹰队（33胜28负）
洛杉矶湖人_布鲁克林篮网,107-101,战胜,湖人队在主场以107-101战胜布鲁克林篮网队（17胜44负）
洛杉矶快船_俄克拉荷马雷霆,103-98,战胜,快船队在主场以103-98战胜俄克拉荷马城雷霆队（42胜19负）
休斯敦火箭_新奥尔良鹈鹕,100-95,险胜,火箭队后来居上以100-95险胜新奥尔良鹈鹕队（23胜36负）
丹佛掘金_洛杉矶湖人,117-107,战胜,丹佛掘金队（24胜37负）在主场以117-107战胜湖人队
金州勇士_俄克拉荷马雷霆,121-106,战胜,勇士队在主场以121-106战胜俄克拉荷马城雷霆队（42胜20负），他们赛季横扫雷霆队
亚特兰大老鹰_洛杉矶湖人,106-77,轻取,亚特兰大老鹰在客场以106-77轻取洛杉矶湖人队（12胜51负）
克里夫兰骑士_华盛顿奇才,108-83,轻取,骑士队在主场以108-83轻取华盛顿奇才队（30胜31负）
芝加哥公牛_休斯敦火箭,108-100,险胜,公牛队在主场以108-100险胜休斯敦火箭队（30胜32负）
克里夫兰骑士_波士顿凯尔特人,120-103,大胜,骑士队在主场以120-103大胜波士顿凯尔特人队（38胜26负）
休斯敦火箭_多伦多猛龙,113-107,战胜,火箭队在客场以113-107战胜多伦多猛龙队（41胜20负）
俄克拉荷马雷霆_密尔沃基雄鹿,104-96,战胜,雷霆队在客场以104-96战胜密尔沃基雄鹿队（26胜37负）
金州勇士_奥兰多魔术,119-113,战胜,勇士队在主场以119-113战胜奥兰多魔术队（27胜35负）
孟菲斯灰熊_克里夫兰骑士,106-103,险胜,灰熊队在客场以106-103险胜克里夫兰骑士队（44胜18负）
洛杉矶湖人_奥兰多魔术,107-98,战胜,洛杉矶湖人在主场以107-98战胜奥兰多魔术队（27胜36负）
休斯敦火箭_费城76人,118-104,战胜,火箭队在客场以118-104战胜费城76人队（8胜56负）
俄克拉荷马雷霆_洛杉矶快船,120-108,战胜,雷霆队在主场以120-108战胜洛杉矶快船队（41胜22负）
金州勇士_犹他爵士,115-94,战胜,勇士队在主场以115-94战胜犹他爵士队（29胜35负）
克里夫兰骑士_洛杉矶湖人,120-108,战胜,克里夫兰骑士在客场以120-108战胜洛杉矶湖人队（14胜52负）
休斯敦火箭_波士顿凯尔特人,102-98,险胜,休斯敦火箭在客场以102-98险胜波士顿凯尔特人队（39胜27负）
金州勇士_波特兰开拓者,128-112,大胜,金州勇士在主场以128-112大胜复仇波特兰开拓者队（34胜32负）
夏洛特黄蜂_休斯敦火箭,125-109,大胜,夏洛特黄蜂在主场以125-109大胜休斯敦火箭队（33胜33负）
圣安东尼奥马刺_俄克拉荷马雷霆,93-85,战胜,马刺队后来居上在主场以93-85战胜俄克拉荷马城雷霆队（44胜22负）
金州勇士_菲尼克斯太阳,123-116,翻盘,勇士队在主场以123-116翻盘战胜菲尼克斯太阳队（17胜49负）
纽约尼克斯_洛杉矶湖人,90-87,险胜,尼克斯队在客场以90-87险胜洛杉矶湖人队（14胜53负）
犹他爵士_克里夫兰骑士,94-85,险胜,爵士队在主场以94-85险胜克里夫兰骑士队（47胜19负）
休斯敦火箭_孟菲斯灰熊,130-81,大胜,火箭队在主场以130-81大胜孟菲斯灰熊队（39胜28负）
金州勇士_新奥尔良鹈鹕,125-107,战胜,勇士队在主场以125-107战胜新奥尔良鹈鹕队（24胜42负）
圣安东尼奥马刺_洛杉矶快船,108-87,大胜,马刺队在主场以108-87大胜洛杉矶快船队（42胜24负）
萨克拉门托国王_洛杉矶湖人,106-98,战胜,萨克拉门托国王牢牢保持领先在客场以106-98战胜洛杉矶湖人队（14胜54负）
洛杉矶快船_休斯敦火箭,122-106,战胜,快船队在客场以122-106战胜休斯敦火箭队（34胜34负）
金州勇士_纽约尼克斯,121-85,轻取,勇士队在主场以121-85轻取尼克斯队（28胜41负）
克里夫兰骑士_达拉斯小牛,99-98,险胜,骑士队在主场以99-98险胜达拉斯小牛队（34胜34负）
